scenario_id,scenario_code,scenario_label,ambition,scenario_kind,k_t,k_p,k_a,edited_objects,rebound,unbalanced_pct_of_output,ambition_basis,source,note,in_combined
11,C3,C3 interventions and the grid pathway,"maximum modelled, KF22 to 2035",combined,0.75;0.15;0.235;0.2;0.3;0.3;0.93;0.75;0.4;0.872861,1;1;1;1;1;1;1;0.6;1;1,0.75;0.15;0.235;0.2;0.3;0.3;0.93;0.45;0.4;0.872861,A;B;bottom_up;y,False,0.7248722566247202,"share of the stated target actually met; both half and full delivery are reported | share of Danish pharmaceutical output achieving what one firm achieved; reported as a range because that share is unknown | applied to the paper and plastics inputs of medical-instrument manufacturing in every region | illustrative ambition | full substitution of the Danish pMDI stock; a device change, not a change of therapy | N2O is 60 % of the Danish anaesthetic-gas term; the volatile agents are a separate item that capture does not touch | the Danish grid, which is what the projection covers","Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018 | Lundbeck, reported in Healthcare Denmark (2024): raw-material use down 15 % from 2020 to 2022 while chemical production rose 18 % | Demant, reported in Healthcare Denmark (2024): 12 % to 23.5 % lower cradle-to-gate packaging carbon across the hearing-aid portfolio, using recycled PET | Danske Regioner procurement focus on reuse of medical equipment, reported in Healthcare Denmark (2024). The reduction level is ILLUSTRATIVE - no Danish reuse rate is published | Danish national travel survey (TU) purpose 33 | Jeswani & Azapagic (2019): reducing propellant by 67 % cuts the carbon footprint of use and end-of-life by 67 %; replacing HFA-134a with HFA-152a cuts it by 93 % | Denmark National Inventory Document category 2.G.3.a: 38 t N2O per year | Circular Industrial Plastic partnership and the regions' stated focus on avoiding waste, Healthcare Denmark (2024). The diverted share is ILLUSTRATIVE | Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh","every intervention at its most ambitious modelled level, applied simultaneously and re-solved. P7 is excluded as an alternative to P6 on the same devices. This is NOT the sum of the individual rows: overlapping levers are netted by the solution. The grid pathway is added because the regions meet their target in a decarbonising economy; it is not something the health system causes",False
12,P1,P1 hospital energy and transport,"-75 % by 2030, 100% of the target met",intervention,0.75,1,0.75,y,False,0.0,share of the stated target actually met; both half and full delivery are reported,Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018,"acts on the health sector's purchases of Danish electricity, distribution and steam. The regions' own measures - climate-friendly buildings, heating conversion, hybrid ambulances - are inputs to this reduction, not separate levers, and cannot be resolved individually in a model with one health industry",True
13,P1,P1 hospital energy and transport,"-75 % by 2030, 50% of the target met",intervention,0.75,0.5,0.375,y,False,0.0,share of the stated target actually met; both half and full delivery are reported,Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018,"acts on the health sector's purchases of Danish electricity, distribution and steam. The regions' own measures - climate-friendly buildings, heating conversion, hybrid ambulances - are inputs to this reduction, not separate levers, and cannot be resolved individually in a model with one health industry",False
14,P2,P2 pharmaceutical raw-material efficiency,"-15 % inputs, 100% of Danish production",intervention,0.15,1,0.15,A,False,0.7061503008239368,share of Danish pharmaceutical output achieving what one firm achieved; reported as a range because that share is unknown,"Lundbeck, reported in Healthcare Denmark (2024): raw-material use down 15 % from 2020 to 2022 while chemical production rose 18 %","a resource-efficiency edit on the input column of the Danish chemicals industry - Aguilar-Hernandez et al. (2018) section 4.4, lower input coefficients at the same output. Only the Danish column is edited: a plant-level Danish result is not evidence about chemical production elsewhere",True
15,P2,P2 pharmaceutical raw-material efficiency,"-15 % inputs, 25% of Danish production",intervention,0.15,0.25,0.0375,A,False,0.1751275001223438,share of Danish pharmaceutical output achieving what one firm achieved; reported as a range because that share is unknown,"Lundbeck, reported in Healthcare Denmark (2024): raw-material use down 15 % from 2020 to 2022 while chemical production rose 18 %","a resource-efficiency edit on the input column of the Danish chemicals industry - Aguilar-Hernandez et al. (2018) section 4.4, lower input coefficients at the same output. Only the Danish column is edited: a plant-level Danish result is not evidence about chemical production elsewhere",False
16,P2,P2 pharmaceutical raw-material efficiency,"-15 % inputs, 50% of Danish production",intervention,0.15,0.5,0.075,A,False,0.3511900312375589,share of Danish pharmaceutical output achieving what one firm achieved; reported as a range because that share is unknown,"Lundbeck, reported in Healthcare Denmark (2024): raw-material use down 15 % from 2020 to 2022 while chemical production rose 18 %","a resource-efficiency edit on the input column of the Danish chemicals industry - Aguilar-Hernandez et al. (2018) section 4.4, lower input coefficients at the same output. Only the Danish column is edited: a plant-level Danish result is not evidence about chemical production elsewhere",False
17,P3,P3 medical-device packaging carbon,-12 % cradle-to-gate,intervention,0.12,1,0.12,A,False,0.0032766172017166,applied to the paper and plastics inputs of medical-instrument manufacturing in every region,"Demant, reported in Healthcare Denmark (2024): 12 % to 23.5 % lower cradle-to-gate packaging carbon across the hearing-aid portfolio, using recycled PET","packaging is not a separate EXIOBASE product, so the edit acts on the paper and plastics inputs of the medical-instruments column. That is broader than packaging alone and therefore an upper bound on this lever",False
18,P3,P3 medical-device packaging carbon,-23.5 % cradle-to-gate,intervention,0.235,1,0.235,A,False,0.0064170856985209,applied to the paper and plastics inputs of medical-instrument manufacturing in every region,"Demant, reported in Healthcare Denmark (2024): 12 % to 23.5 % lower cradle-to-gate packaging carbon across the hearing-aid portfolio, using recycled PET","packaging is not a separate EXIOBASE product, so the edit acts on the paper and plastics inputs of the medical-instruments column. That is broader than packaging alone and therefore an upper bound on this lever",True
19,P4,P4 reuse of medical equipment,-10% device purchases,intervention,0.1,1,0.1,y,False,0.0,illustrative ambition,"Danske Regioner procurement focus on reuse of medical equipment, reported in Healthcare Denmark (2024). The reduction level is ILLUSTRATIVE - no Danish reuse rate is published","product lifetime extension, Aguilar-Hernandez et al. (2018) section 4.3: lower final demand for the device, with 30 % of the saving reappearing as maintenance and repair services rather than disappearing",False
20,P4,P4 reuse of medical equipment,-20% device purchases,intervention,0.2,1,0.2,y,False,0.0,illustrative ambition,"Danske Regioner procurement focus on reuse of medical equipment, reported in Healthcare Denmark (2024). The reduction level is ILLUSTRATIVE - no Danish reuse rate is published","product lifetime extension, Aguilar-Hernandez et al. (2018) section 4.3: lower final demand for the device, with 30 % of the saving reappearing as maintenance and repair services rather than disappearing",True
21,P5,"P5 patient, visitor and staff travel",-10%,intervention,0.1;0.1,1;1,0.1;0.1,bottom_up,False,0.0,illustrative ambition,Danish national travel survey (TU) purpose 33,"acts on the bottom-up travel items in ALL FIVE categories - the ecoinvent inventory behind them carries material, water and land as well as greenhouse gases, and treating the non-climate columns as zero understated this lever",False
22,P5,"P5 patient, visitor and staff travel",-20%,intervention,0.2;0.2,1;1,0.2;0.2,bottom_up,False,0.0,illustrative ambition,Danish national travel survey (TU) purpose 33,"acts on the bottom-up travel items in ALL FIVE categories - the ecoinvent inventory behind them carries material, water and land as well as greenhouse gases, and treating the non-climate columns as zero understated this lever",False
23,P5,"P5 patient, visitor and staff travel",-30%,intervention,0.3;0.3,1;1,0.3;0.3,bottom_up,False,0.0,illustrative ambition,Danish national travel survey (TU) purpose 33,"acts on the bottom-up travel items in ALL FIVE categories - the ecoinvent inventory behind them carries material, water and land as well as greenhouse gases, and treating the non-climate columns as zero understated this lever",True
24,P6,P6 inhaler propellant: HFA-152a propellant,-93% propellant GWP,intervention,0.93,1,0.93,bottom_up,False,0.0,"full substitution of the Danish pMDI stock; a device change, not a change of therapy",Jeswani & Azapagic (2019): reducing propellant by 67 % cuts the carbon footprint of use and end-of-life by 67 %; replacing HFA-134a with HFA-152a cuts it by 93 %,"this lever is better evidenced than switching device class and carries no therapeutic trade-off, because the medicine and the delivery route are unchanged",True
25,P6,P6 inhaler propellant: low-charge pMDI,-67% propellant GWP,intervention,0.67,1,0.67,bottom_up,False,0.0,"full substitution of the Danish pMDI stock; a device change, not a change of therapy",Jeswani & Azapagic (2019): reducing propellant by 67 % cuts the carbon footprint of use and end-of-life by 67 %; replacing HFA-134a with HFA-152a cuts it by 93 %,"this lever is better evidenced than switching device class and carries no therapeutic trade-off, because the medicine and the delivery route are unchanged",False
26,P7,P7 pMDI to dry-powder inhaler,25% substituted,intervention,0.25,1,0.25,bottom_up,False,0.0,share of the pMDI stock switched,"Jeswani & Azapagic (2019): dry-powder inhaler GWP is 0.06 kg CO2e per 100 doses against 23.4 for the HFA inhaler, a factor of 380","BURDEN SHIFT, sourced and directional. Jeswani & Azapagic report the dry-powder inhaler as WORSE than the HFA inhaler for abiotic depletion of elements, eutrophication and freshwater and terrestrial ecotoxicity. Those act on the device life cycle, which this MRIO does not resolve, so the direction is reported and the magnitude is not invented. Dry-powder inhalers are also not clinically suitable for every patient",False
27,P7,P7 pMDI to dry-powder inhaler,50% substituted,intervention,0.5,1,0.5,bottom_up,False,0.0,share of the pMDI stock switched,"Jeswani & Azapagic (2019): dry-powder inhaler GWP is 0.06 kg CO2e per 100 doses against 23.4 for the HFA inhaler, a factor of 380","BURDEN SHIFT, sourced and directional. Jeswani & Azapagic report the dry-powder inhaler as WORSE than the HFA inhaler for abiotic depletion of elements, eutrophication and freshwater and terrestrial ecotoxicity. Those act on the device life cycle, which this MRIO does not resolve, so the direction is reported and the magnitude is not invented. Dry-powder inhalers are also not clinically suitable for every patient",False
28,P7,P7 pMDI to dry-powder inhaler,75% substituted,intervention,0.75,1,0.75,bottom_up,False,0.0,share of the pMDI stock switched,"Jeswani & Azapagic (2019): dry-powder inhaler GWP is 0.06 kg CO2e per 100 doses against 23.4 for the HFA inhaler, a factor of 380","BURDEN SHIFT, sourced and directional. Jeswani & Azapagic report the dry-powder inhaler as WORSE than the HFA inhaler for abiotic depletion of elements, eutrophication and freshwater and terrestrial ecotoxicity. Those act on the device life cycle, which this MRIO does not resolve, so the direction is reported and the magnitude is not invented. Dry-powder inhalers are also not clinically suitable for every patient",False
29,P8,P8 nitrous oxide capture or reduction,25%,intervention,0.25,0.6,0.15,bottom_up,False,0.0,N2O is 60 % of the Danish anaesthetic-gas term; the volatile agents are a separate item that capture does not touch,Denmark National Inventory Document category 2.G.3.a: 38 t N2O per year,acts on the N2O share of the anaesthetic term only. The volatile agents already reflect the Danish desflurane phase-out and are not reduced again here,False
30,P8,P8 nitrous oxide capture or reduction,50%,intervention,0.5,0.6,0.3,bottom_up,False,0.0,N2O is 60 % of the Danish anaesthetic-gas term; the volatile agents are a separate item that capture does not touch,Denmark National Inventory Document category 2.G.3.a: 38 t N2O per year,acts on the N2O share of the anaesthetic term only. The volatile agents already reflect the Danish desflurane phase-out and are not reduced again here,False
31,P8,P8 nitrous oxide capture or reduction,75%,intervention,0.75,0.6,0.45,bottom_up,False,0.0,N2O is 60 % of the Danish anaesthetic-gas term; the volatile agents are a separate item that capture does not touch,Denmark National Inventory Document category 2.G.3.a: 38 t N2O per year,acts on the N2O share of the anaesthetic term only. The volatile agents already reflect the Danish desflurane phase-out and are not reduced again here,True
32,P9,P9 divert health-care waste to recycling,20% of incineration,intervention,0.2,1,0.2,A,False,4.9239658023103505e-19,illustrative ambition,"Circular Industrial Plastic partnership and the regions' stated focus on avoiding waste, Healthcare Denmark (2024). The diverted share is ILLUSTRATIVE","residual waste management, Aguilar-Hernandez et al. (2018) section 4.1: the health industry's purchases of incineration are moved to recycling services. EXIOBASE resolves both explicitly, so this is a real substitution rather than an intensity fudge",False
33,P9,P9 divert health-care waste to recycling,40% of incineration,intervention,0.4,1,0.4,A,False,1.0179323414363112e-18,illustrative ambition,"Circular Industrial Plastic partnership and the regions' stated focus on avoiding waste, Healthcare Denmark (2024). The diverted share is ILLUSTRATIVE","residual waste management, Aguilar-Hernandez et al. (2018) section 4.1: the health industry's purchases of incineration are moved to recycling services. EXIOBASE resolves both explicitly, so this is a real substitution rather than an intensity fudge",True
